postcode,SFBB availability (% premises),UFBB availability (% premises),FTTP availability (% premises),District,County,TownCity
BD100AA,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100AD,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100AE,0,100,100,BRADFORD,West Yorkshire,BRADFORD
BD100AF,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100AG,0,100,100,BRADFORD,West Yorkshire,BRADFORD
BD100AH,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD100AJ,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100AL,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100AN,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100AP,0,100,100,BRADFORD,West Yorkshire,BRADFORD
BD100AQ,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100AT,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100AU,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100AW,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100AX,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100AY,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100BA,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD100BB,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100BD,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100BE,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100BH,100,0,0,BRADFORD,West Yorkshire,BRADFORD
BD100BL,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100BN,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100BP,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100BS,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100BW,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100BX,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100BY,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100DA,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100DB,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100DH,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100DJ,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100DL,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100DN,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100DP,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100DQ,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100DR,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100DS,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100DT,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100DW,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100DX,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100DZ,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100EA,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100EE,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100EP,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100ER,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100ES,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100ET,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100EY,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100FA,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100FB,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100FF,0,100,100,BRADFORD,West Yorkshire,BRADFORD
BD100FH,0,100,100,BRADFORD,West Yorkshire,BRADFORD
BD100HD,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100HE,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100HF,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100HJ,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100HL,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100HN,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100HS,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100HW,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100HX,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100HY,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100JA,0,100,0,BRADFORD,West Yorkshire,BRADFORD
BD100JB,0,100,0,BRADFORD,West Yorkshire,BRADFORD
