postcode,Average download speed (Mbit/s),District,County,TownCity
BD100AA,39.7,BRADFORD,West Yorkshire,BRADFORD
BD100AE,28,BRADFORD,West Yorkshire,BRADFORD
BD100AF,91.9,BRADFORD,West Yorkshire,BRADFORD
BD100AG,11.9,BRADFORD,West Yorkshire,BRADFORD
BD100AH,32,BRADFORD,West Yorkshire,BRADFORD
BD100AJ,69.2,BRADFORD,West Yorkshire,BRADFORD
BD100AL,73,BRADFORD,West Yorkshire,BRADFORD
BD100AN,53.3,BRADFORD,West Yorkshire,BRADFORD
BD100AP,23.5,BRADFORD,West Yorkshire,BRADFORD
BD100AQ,65.4,BRADFORD,West Yorkshire,BRADFORD
BD100AT,60.2,BRADFORD,West Yorkshire,BRADFORD
BD100AU,81.8,BRADFORD,West Yorkshire,BRADFORD
BD100AW,66.4,BRADFORD,West Yorkshire,BRADFORD
BD100AX,75,BRADFORD,West Yorkshire,BRADFORD
BD100BA,19.4,BRADFORD,West Yorkshire,BRADFORD
BD100BB,46.4,BRADFORD,West Yorkshire,BRADFORD
BD100BD,61.7,BRADFORD,West Yorkshire,BRADFORD
BD100BE,60.2,BRADFORD,West Yorkshire,BRADFORD
BD100BL,82.8,BRADFORD,West Yorkshire,BRADFORD
BD100BN,51.8,BRADFORD,West Yorkshire,BRADFORD
BD100BP,58.2,BRADFORD,West Yorkshire,BRADFORD
BD100BS,30.4,BRADFORD,West Yorkshire,BRADFORD
BD100BW,60.1,BRADFORD,West Yorkshire,BRADFORD
BD100BX,69,BRADFORD,West Yorkshire,BRADFORD
BD100BY,64.8,BRADFORD,West Yorkshire,BRADFORD
BD100DA,71.5,BRADFORD,West Yorkshire,BRADFORD
BD100DB,49.7,BRADFORD,West Yorkshire,BRADFORD
BD100DH,92.1,BRADFORD,West Yorkshire,BRADFORD
BD100DJ,53.2,BRADFORD,West Yorkshire,BRADFORD
BD100DL,54.3,BRADFORD,West Yorkshire,BRADFORD
BD100DN,58.9,BRADFORD,West Yorkshire,BRADFORD
BD100DP,99.8,BRADFORD,West Yorkshire,BRADFORD
BD100DR,73.1,BRADFORD,West Yorkshire,BRADFORD
BD100DS,61.4,BRADFORD,West Yorkshire,BRADFORD
BD100DT,69.1,BRADFORD,West Yorkshire,BRADFORD
BD100DW,45.5,BRADFORD,West Yorkshire,BRADFORD
BD100DX,46,BRADFORD,West Yorkshire,BRADFORD
BD100DZ,86.6,BRADFORD,West Yorkshire,BRADFORD
BD100EA,51,BRADFORD,West Yorkshire,BRADFORD
BD100EP,74.8,BRADFORD,West Yorkshire,BRADFORD
BD100ER,67.5,BRADFORD,West Yorkshire,BRADFORD
BD100ES,73,BRADFORD,West Yorkshire,BRADFORD
