Postcode,Population,District,County
BD11,384,BRADFORD,WEST YORKSHIRE
BD11,384,LEEDS,WEST YORKSHIRE
BD11,384,KIRKLEES,WEST YORKSHIRE
BD12,370,BRADFORD,WEST YORKSHIRE
BD12,370,KIRKLEES,WEST YORKSHIRE
BD13,1575,BRADFORD,WEST YORKSHIRE
BD13,1575,CALDERDALE,WEST YORKSHIRE
BD14,751,BRADFORD,WEST YORKSHIRE
BD15,756,BRADFORD,WEST YORKSHIRE
BD21,8149,BRADFORD,WEST YORKSHIRE
BD22,4754,BRADFORD,WEST YORKSHIRE
BD23,7927,BRADFORD,WEST YORKSHIRE
BD24,7736,BRADFORD,WEST YORKSHIRE
BD30,9775,BRADFORD,WEST YORKSHIRE
BD37,7518,BRADFORD,WEST YORKSHIRE
BD37,7518,LEEDS,WEST YORKSHIRE
BD38,9087,BRADFORD,WEST YORKSHIRE
BD38,9087,LEEDS,WEST YORKSHIRE
BD39,7641,BRADFORD,WEST YORKSHIRE
BD40,6698,BRADFORD,WEST YORKSHIRE
BD40,6698,LEEDS,WEST YORKSHIRE
BD40,6698,KIRKLEES,WEST YORKSHIRE
BD46,7253,BRADFORD,WEST YORKSHIRE
BD46,7253,KIRKLEES,WEST YORKSHIRE
BD47,4767,BRADFORD,WEST YORKSHIRE
BD48,6867,BRADFORD,WEST YORKSHIRE
BD48,6867,LEEDS,WEST YORKSHIRE
BD49,5633,BRADFORD,WEST YORKSHIRE
BD50,7093,BRADFORD,WEST YORKSHIRE
BD57,6312,BRADFORD,WEST YORKSHIRE
BD58,7748,BRADFORD,WEST YORKSHIRE
BD59,10488,BRADFORD,WEST YORKSHIRE
BD61,9491,BRADFORD,WEST YORKSHIRE
BD62,7616,BRADFORD,WEST YORKSHIRE
BD62,7616,CALDERDALE,WEST YORKSHIRE
BD63,12965,BRADFORD,WEST YORKSHIRE
BD71,6140,BRADFORD,WEST YORKSHIRE
BD72,11830,BRADFORD,WEST YORKSHIRE
BD73,8650,BRADFORD,WEST YORKSHIRE
BD74,8725,BRADFORD,WEST YORKSHIRE
BD80,7933,BRADFORD,WEST YORKSHIRE
BD87,6679,BRADFORD,WEST YORKSHIRE
BD88,6659,BRADFORD,WEST YORKSHIRE
BD89,10231,BRADFORD,WEST YORKSHIRE
BD94,9552,BRADFORD,WEST YORKSHIRE
BD95,10933,BRADFORD,WEST YORKSHIRE
BD96,8824,BRADFORD,WEST YORKSHIRE
DN11,307,DONCASTER,SOUTH YORKSHIRE
DN11,307,ROTHERHAM,SOUTH YORKSHIRE
DN12,6392,DONCASTER,SOUTH YORKSHIRE
DN12,6392,ROTHERHAM,SOUTH YORKSHIRE
DN13,2036,DONCASTER,SOUTH YORKSHIRE
DN24,8183,DONCASTER,SOUTH YORKSHIRE
DN25,8087,DONCASTER,SOUTH YORKSHIRE
DN26,8281,DONCASTER,SOUTH YORKSHIRE
DN31,8327,DONCASTER,SOUTH YORKSHIRE
DN32,11824,DONCASTER,SOUTH YORKSHIRE
DN33,9918,DONCASTER,SOUTH YORKSHIRE
DN40,10620,DONCASTER,SOUTH YORKSHIRE
DN45,5407,DONCASTER,SOUTH YORKSHIRE
DN46,11640,DONCASTER,SOUTH YORKSHIRE
DN47,7766,DONCASTER,SOUTH YORKSHIRE
DN48,7638,DONCASTER,SOUTH YORKSHIRE
DN49,10344,DONCASTER,SOUTH YORKSHIRE
DN50,9827,DONCASTER,SOUTH YORKSHIRE
DN57,8833,DONCASTER,SOUTH YORKSHIRE
DN57,8833,BARNSLEY,SOUTH YORKSHIRE
DN58,11474,DONCASTER,SOUTH YORKSHIRE
DN59,10730,DONCASTER,SOUTH YORKSHIRE
DN60,6283,DONCASTER,SOUTH YORKSHIRE
DN67,10737,DONCASTER,SOUTH YORKSHIRE
DN68,8688,DONCASTER,SOUTH YORKSHIRE
DN69,5440,DONCASTER,SOUTH YORKSHIRE
DN74,8354,DONCASTER,SOUTH YORKSHIRE
DN75,7284,DONCASTER,SOUTH YORKSHIRE
DN76,8972,DONCASTER,SOUTH YORKSHIRE
DN84,9796,DONCASTER,SOUTH YORKSHIRE
DN85,7499,DONCASTER,SOUTH YORKSHIRE
DN91,8575,DONCASTER,SOUTH YORKSHIRE
DN92,5039,DONCASTER,SOUTH YORKSHIRE
DN93,6404,DONCASTER,SOUTH YORKSHIRE
HD11,241,KIRKLEES,WEST YORKSHIRE
HD13,8307,KIRKLEES,WEST YORKSHIRE
HD14,8542,KIRKLEES,WEST YORKSHIRE
HD15,2836,KIRKLEES,WEST YORKSHIRE
HD16,3036,KIRKLEES,WEST YORKSHIRE
HD21,15473,KIRKLEES,WEST YORKSHIRE
