URN,SchoolName,LocalAuthority,County,Postcode,Attainment8,Year,LSOA,District
146501,Astrea Academy Dearne,Barnsley,South Yorkshire,S639EW,39,2021-2022,Barnsley 022B,BARNSLEY
131749,Barnsley Academy,Barnsley,South Yorkshire,S703DL,40.8,2021-2022,Barnsley 018A,BARNSLEY
130524,Barnsley College,Barnsley,South Yorkshire,S702YW,6,2021-2022,Barnsley 013B,BARNSLEY
146320,Darton Academy,Barnsley,South Yorkshire,S755EF,51,2021-2022,Barnsley 005C,BARNSLEY
144606,Holy Trinity Catholic and Church of England School,Barnsley,South Yorkshire,S712LF,42.8,2021-2022,Barnsley 007E,BARNSLEY
146455,Horizon Community College,Barnsley,South Yorkshire,S706PD,51.5,2021-2022,Barnsley 012F,BARNSLEY
140979,Kirk Balk Academy,Barnsley,South Yorkshire,S749HX,50.6,2021-2022,Barnsley 028B,BARNSLEY
143907,Netherwood Academy,Barnsley,South Yorkshire,S738FE,39.3,2021-2022,Barnsley 023B,BARNSLEY
139210,Outwood Academy Carlton,Barnsley,South Yorkshire,S713EW,43.5,2021-2022,Barnsley 002B,BARNSLEY
139211,Outwood Academy Shafton,Barnsley,South Yorkshire,S728RE,42.5,2021-2022,Barnsley 003B,BARNSLEY
106653,Penistone Grammar School,Barnsley,South Yorkshire,S367BX,60.1,2021-2022,Barnsley 016D,BARNSLEY
106965,The Robert Ogden School,Barnsley,South Yorkshire,S630BG,0.8,2021-2022,Barnsley 014F,BARNSLEY
141563,Springwell Special Academy,Barnsley,South Yorkshire,S712AY,13.3,2021-2022,Barnsley 007E,BARNSLEY
138314,Armthorpe Academy,Doncaster,South Yorkshire,DN32DA,41.4,2021-2022,Doncaster 014B,DONCASTER
137066,Ash Hill Academy,Doncaster,South Yorkshire,DN76JH,43.1,2021-2022,Doncaster 006B,DONCASTER
146370,Astrea Academy Woodfields,Doncaster,South Yorkshire,DN48ND,30.1,2021-2022,Doncaster 028A,DONCASTER
138116,Campsmount Academy,Doncaster,South Yorkshire,DN69AS,37.5,2021-2022,Doncaster 002G,DONCASTER
135942,De Warenne Academy,Doncaster,South Yorkshire,DN123JY,50.1,2021-2022,Doncaster 035C,DONCASTER
137472,Don Valley Academy,Doncaster,South Yorkshire,DN59DD,48.6,2021-2022,Doncaster 012D,DONCASTER
137842,Hall Cross Academy,Doncaster,South Yorkshire,DN12HY,50.6,2021-2022,Doncaster 019D,DONCASTER
136672,The Hayfield School,Doncaster,South Yorkshire,DN93HG,57.2,2021-2022,Doncaster 038A,DONCASTER
106812,Hill House School,Doncaster,South Yorkshire,DN93GG,41.4,2021-2022,Doncaster 038A,DONCASTER
137899,Hungerhill School,Doncaster,South Yorkshire,DN32JY,51.1,2021-2022,Doncaster 011D,DONCASTER
146639,The Laurel Academy,Doncaster,South Yorkshire,S649SD,45.8,2021-2022,Doncaster 020A,DONCASTER
140865,The McAuley Catholic High School,Doncaster,South Yorkshire,DN33QF,45.5,2021-2022,Doncaster 026E,DONCASTER
140816,North Bridge Enterprise College,Doncaster,South Yorkshire,DN45JW,0.1,2021-2022,Doncaster 019A,DONCASTER
135963,Outwood Academy Adwick,Doncaster,South Yorkshire,DN67SF,44.2,2021-2022,Doncaster 009A,DONCASTER
143938,Outwood Academy Danum,Doncaster,South Yorkshire,DN25QD,41.9,2021-2022,Doncaster 018C,DONCASTER
137603,Ridgewood School,Doncaster,South Yorkshire,DN57UB,48.6,2021-2022,Doncaster 016C,DONCASTER
136675,Rossington All Saints Academy,Doncaster,South Yorkshire,DN110BZ,49.5,2021-2022,Doncaster 036B,DONCASTER
144364,Sir Thomas Wharton Academy,Doncaster,South Yorkshire,DN121HH,45.5,2021-2022,Doncaster 034A,DONCASTER
135007,Trinity Academy,Doncaster,South Yorkshire,DN85BY,42.3,2021-2022,Doncaster 003B,DONCASTER
143916,XP East,Doncaster,South Yorkshire,DN45NG,41.3,2021-2022,Doncaster 019A,DONCASTER
140964,XP School,Doncaster,South Yorkshire,DN45NG,42.6,2021-2022,Doncaster 019A,DONCASTER
142768,Abbey School,Rotherham,South Yorkshire,S612RA,8.6,2021-2022,Rotherham 015E,ROTHERHAM
146571,Abbeywood School,Rotherham,South Yorkshire,S668QN,8.5,2021-2022,Rotherham 018A,ROTHERHAM
136718,Aston Academy,Rotherham,South Yorkshire,S264SF,45.6,2021-2022,Rotherham 026A,ROTHERHAM
136301,Brinsworth Academy,Rotherham,South Yorkshire,S605EJ,48.1,2021-2022,Rotherham 025E,ROTHERHAM
143545,Clifton Community School,Rotherham,South Yorkshire,S652SN,37.3,2021-2022,Rotherham 014E,ROTHERHAM
141730,Dinnington High School,Rotherham,South Yorkshire,S252NZ,44.9,2021-2022,Rotherham 029E,ROTHERHAM
142797,Kelford School,Rotherham,South Yorkshire,S612NU,0,2021-2022,Rotherham 016D,ROTHERHAM
136042,Maltby Academy,Rotherham,South Yorkshire,S668AB,46.7,2021-2022,Rotherham 018F,ROTHERHAM
106966,Newman School,Rotherham,South Yorkshire,S603LX,2.8,2021-2022,Rotherham 023F,ROTHERHAM
140459,Oakwood High School,Rotherham,South Yorkshire,S602UH,48.8,2021-2022,Rotherham 023B,ROTHERHAM
140553,Rawmarsh Community School,Rotherham,South Yorkshire,S627GA,47.3,2021-2022,Rotherham 005D,ROTHERHAM
138329,St Bernard's Catholic High School,Rotherham,South Yorkshire,S653BE,51.3,2021-2022,Rotherham 021C,ROTHERHAM
106962,Saint Pius X Catholic High School A Specialist School in Humanities,Rotherham,South Yorkshire,S637PQ,46.1,2021-2022,Rotherham 002A,ROTHERHAM
143141,Swinton Academy,Rotherham,South Yorkshire,S648JW,43.5,2021-2022,Rotherham 003D,ROTHERHAM
148547,Thrybergh Academy,Rotherham,South Yorkshire,S654BP,36.1,2021-2022,Rotherham 010B,ROTHERHAM
136331,Wales High School,Rotherham,South Yorkshire,S265QQ,52,2021-2022,Rotherham 031C,ROTHERHAM
145848,Wath Academy,Rotherham,South Yorkshire,S637NW,54.6,2021-2022,Rotherham 002E,ROTHERHAM
140646,Wickersley School and Sports College,Rotherham,South Yorkshire,S661JL,53.1,2021-2022,Rotherham 022B,ROTHERHAM
139992,Wingfield Academy,Rotherham,South Yorkshire,S614AU,50.9,2021-2022,Rotherham 009C,ROTHERHAM
141853,Winterhill School,Rotherham,South Yorkshire,S612BD,44.2,2021-2022,Rotherham 015D,ROTHERHAM
138337,All Saints' Catholic High School,Sheffield,South Yorkshire,S22RJ,48.2,2021-2022,Sheffield 043A,SHEFFIELD
131122,Al-Mahad Al-Islami,Sheffield,South Yorkshire,S95FP,49.1,2021-2022,Sheffield 027D,SHEFFIELD
107169,Bents Green School,Sheffield,South Yorkshire,S117TB,3,2021-2022,Sheffield 055F,SHEFFIELD
107168,Bethany School,Sheffield,South Yorkshire,S37PS,55.3,2021-2022,Sheffield 026A,SHEFFIELD
107163,Birkdale School,Sheffield,South Yorkshire,S103DH,72.7,2021-2022,Sheffield 036A,SHEFFIELD
143963,The Birley Academy,Sheffield,South Yorkshire,S123BP,40.8,2021-2022,Sheffield 076D,SHEFFIELD
147788,Bradfield School,Sheffield,South Yorkshire,S350AE,48.2,2021-2022,Sheffield 008A,SHEFFIELD
138414,Chaucer School,Sheffield,South Yorkshire,S58NH,29.7,2021-2022,Sheffield 009E,SHEFFIELD
145191,Ecclesfield School,Sheffield,South Yorkshire,S359WD,47,2021-2022,Sheffield 004D,SHEFFIELD
138925,Fir Vale School,Sheffield,South Yorkshire,S48GB,29.2,2021-2022,Sheffield 022D,SHEFFIELD
139334,Firth Park Academy,Sheffield,South Yorkshire,S50SD,42.3,2021-2022,Sheffield 010B,SHEFFIELD
140547,Forge Valley School,Sheffield,South Yorkshire,S65HG,50.1,2021-2022,Sheffield 021E,SHEFFIELD
141495,Handsworth Grange Community Sports College,Sheffield,South Yorkshire,S139HJ,44.6,2021-2022,Sheffield 037C,SHEFFIELD
126705,Heritage Park School,Sheffield,South Yorkshire,S22RU,1.3,2021-2022,Sheffield 043A,SHEFFIELD
145455,High Storrs School,Sheffield,South Yorkshire,S117LH,58,2021-2022,Sheffield 047F,SHEFFIELD
139856,Hinde House 2-16 Academy,Sheffield,South Yorkshire,S56AG,43.8,2021-2022,Sheffield 014B,SHEFFIELD
