URN,SCHNAME,ATT8SCR
142408,Ecole Jeannine Manuel,NE
137333,Guildhouse School,SUPP
100096,Swiss Cottage School - Development & Research Centre,NE
147681,Greenwich Engineering and Medical School,SUPP
132066,Greenwich Steiner School,SUPP
147991,Serenity School Eltham,NE
143595,Willow Dene School,NE
100291,Bnois Jerusalem Girls School,NE
100311,The Garden School,NE
100312,Ickburgh School,SUPP
141737,The school at Hackney city farm,SUPP
133439,Side By Side School,SUPP
100294,Talmud Torah Machzikei Hadass School,NE
100382,Cambridge School,NE
100381,Jack Tizard School,SUPP
135175,Parayhouse School,NE
136504,TLG West London,SUPP
141605,The Bridge Integrated Learning Space,SUPP
143217,The Bridge School,NE
100469,Samuel Rhodes MLD School,NE
148562,Kensington Queensmill School,SUPP
141957,Parkwood Hall Co-Operative Academy,NE
131778,Tabernacle School,SUPP
133442,The Michael Tippett School,NE
138803,"Octavia House Schools, London",NE
100643,Turney Primary and Secondary Special School,NE
136423,Drumbeat School and ASD Service,NE
143933,Education-My Life Matters,SUPP
100765,Greenvale School,NE
100763,New Woodlands School,NE
143838,Urban Mission School,SUPP
147977,THE BRIDGE SPECIAL EDUCATION NEEDS SCHOOL,SUPP
100872,Highshore School,NE
141701,PhoenixPlace,NE
146190,"Spa School, Bermondsey",NE
141031,Treasure House (London) CIC,SUPP
100880,Tuke School,NE
100989,Beatrice Tate School,NE
101095,Bradstow School,NE
101102,Paddock School,NE
147547,Roehampton Hospital School,NE
145164,Tram House School,NE
134911,Abingdon House School,NE
101182,College Park School,NE
139239,Eifa International School,SUPP
139415,Halcyon London International School,NE
147957,Maida Vale School,NE
101184,Queen Elizabeth II Jubilee School,SUPP
143530,Southbank International School Westminster,NE
137784,Unity Girls High School,SUPP
142134,Riverside Bridge School,NE
131102,Trinity School,NE
101391,Dwight School London,NE
135072,Ellern Mede School Limited,SUPP
144752,Kisharon School,SUPP
144727,Lubavitch Yeshiva Ketanah of London,NE
101397,Mapledown School,NE
143865,Oak Lodge School,NE
101487,Marlborough School,NE
138386,Park View Academy,SUPP
146885,Woodside Academy,NE
144796,Edith Kay Independent School,SUPP
